Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
HDFC,W3,27-Jul-21,684.95,685,689,675.1,675.1,675.9,684.1,34200,23396190,38
HDFC,EQ,28-Jul-21,2433.95,2417.1,2432.45,2380,2428,2425.8,2406.54,3988878,9599398985,153676
HDFC,W3,28-Jul-21,675.9,655.1,673.8,652,667.45,665.15,660.86,41400,27359460,64
HDFC,EQ,29-Jul-21,2425.8,2424,2433.65,2405.1,2420,2414.8,2418.41,3288676,7953361694,106210
HDFC,W3,29-Jul-21,665.15,666.95,685,662,680,680,679.05,31800,21593760,51
HDFC,EQ,30-Jul-21,2414.8,2417.95,2464.7,2414.8,2442.55,2441.15,2440.76,4128459,10076573660,168648
HDFC,W3,30-Jul-21,680,686,690,676.3,678,680,685.14,14400,9865950,24
HDFC,EQ,02-Aug-21,2441.15,2466,2487,2425.1,2462.55,2462.05,2457.99,5009133,12312390322,204456
HDFC,W3,02-Aug-21,680,690,705.05,670.2,680,681.5,687.8,52200,35903160,83
HDFC,EQ,03-Aug-21,2462.05,2515,2560,2476,2555,2554.65,2523.01,5962929,15044530763,183776
HDFC,W3,03-Aug-21,681.5,695,748.7,690,741.2,744.05,731.5,196800,143958660,259
HDFC,EQ,04-Aug-21,2554.65,2573.3,2681,2565,2672,2676.05,2647.55,9604932,25429515948,284090
HDFC,W3,04-Aug-21,744.05,781.8,815,745.5,807,808.85,800.01,148200,118560840,237
HDFC,EQ,05-Aug-21,2676.05,2680,2685,2644.3,2662.55,2661.7,2664.01,4021021,10712052309,141019
HDFC,W3,05-Aug-21,808.85,803,810,799.95,805,803.95,805.6,16800,13534020,28
HDFC,EQ,06-Aug-21,2661.7,2657,2673,2621.4,2630.6,2628.1,2646.31,2139764,5662476194,104469
HDFC,W3,06-Aug-21,803.95,795,801.95,781,782,781.65,790.25,7200,5689770,12
HDFC,EQ,09-Aug-21,2628.1,2632.05,2646.25,2599.9,2621.5,2623.9,2623.39,1751767,4595573079,69097
HDFC,W3,09-Aug-21,781.65,782,783,757.5,772.05,772.45,769.04,27000,20764200,42
HDFC,EQ,10-Aug-21,2623.9,2634.7,2678.7,2626.85,2671,2671.65,2663.22,4690741,12492467525,163969
HDFC,W3,10-Aug-21,772.45,775,805,775,790.1,792.55,792.02,39000,30888600,62
HDFC,EQ,11-Aug-21,2671.65,2675,2689.5,2633.75,2654.6,2658.5,2659.1,1769627,4705618793,89258
HDFC,W3,11-Aug-21,792.55,797.95,810,762,770,770,770.92,49200,37929330,78
HDFC,EQ,12-Aug-21,2658.5,2656.6,2675.25,2646.6,2666,2668.75,2662.35,1702479,4532596292,61672
